datetimeäáš;value;station_name;nat_abbr;wigos_id;e_coord;n_coord;latitude;longitude;installation_height;param_short
2022-03-07T09:00:00Z;22;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;dkl010h0
2022-03-07T09:00:00Z;2.2;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-04T12:00:00Z;-3.1;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200h0
2022-03-04T12:00:00Z;-3.1;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-04T23:00:00Z;1464.3;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;ppz850h0
2022-03-04T12:00:00Z;34.7;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;ure200h0
2022-03-07T20:00:00Z;7.6;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h1
2022-03-07T20:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;gre000h0
2022-03-07T20:00:00Z;1014.6;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;pp0qnhh0
2022-03-04T23:00:00Z;-8.3;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200h0
2022-03-04T23:00:00Z;-8.4;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-04T23:00:00Z;-8.1;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hx
2022-03-08T07:00:00Z;5.4;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h1
2022-03-07T20:00:00Z;-15.7;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tde200h0
